row_index_1b,PC1,PC2,group
1,-652.6655732575705,5733.031441853532,real
2,-336.0767679346232,5801.644766100207,fake
3,-487.5847909469881,5684.726299311202,fake
4,313.78937896043954,5742.8014211371055,fake
5,1061.7231458430163,6039.796256358094,fake
6,449.9919143151726,5392.602377435019,fake
7,1011.568561741188,5689.1413878707335,fake
8,1686.7041195573559,5788.6836551243505,fake
9,1360.6967173257563,5522.612562900155,fake
10,740.633910532357,5387.005200878378,fake
11,750.9445519316382,5386.384452626868,fake
12,1594.250308866599,5479.49456566924,fake
13,1380.9165044277308,5330.423998897712,fake
14,1288.3089573830616,5084.910419430243,fake
15,1424.0892258495105,5184.106256287077,fake
16,1198.0960899405222,5125.857810289547,fake
17,987.7386353641355,4893.24239487758,fake
18,725.4121688230052,4992.619604094502,fake
19,1077.3118240838141,4835.299659720291,fake
20,1287.8880643323282,4831.570086427264,fake
21,1218.2567459582808,4750.025183709523,fake
22,1329.0176565865684,4947.663494247772,fake
23,1289.7247129603265,4810.7061424627145,fake
24,1677.9474007474496,5045.076379884627,fake
25,1445.9947766443806,4830.783763987093,fake
26,919.6506354835054,4356.8816731518555,fake
27,1288.8795119724405,4530.22571501769,fake
28,868.3417092436056,4138.664116414376,fake
29,792.4588561728557,4091.550899565171,fake
30,555.8290475378909,3851.435982342341,fake
31,730.750868996373,3936.7120918032806,fake
32,510.6006515685292,3895.270825281218,fake
33,802.9275511898388,3912.7643360843404,fake
34,448.0554893507134,3774.549987714317,fake
35,562.6856474229302,3696.902218602747,fake
36,235.10975175372297,3342.4706837250724,fake
37,60.76223583863735,3227.3417803953635,fake
38,111.7054311052075,3166.2205064641053,fake
39,-1013.442829405616,2494.769795043568,fake
40,-194.3662425244531,3016.0874630438066,fake
41,-1031.2504469145297,2561.7547313072405,fake
42,-865.046132896748,2580.0252514263893,fake
43,-1074.0839661113182,2286.6433346678746,fake
44,-787.1683016242505,2286.1981996052514,fake
45,-735.5342177009238,2160.207557103777,fake
46,-1210.9402596572218,1879.582879910191,fake
47,-395.7427116980951,2120.8719003660412,fake
48,-763.454378502164,1885.8314891364635,fake
49,-1178.1301234281393,1835.2438814212617,fake
50,-671.7212790954087,1876.7015197188641,fake
51,-2285.5189350234805,1201.4772199742276,fake
52,-2022.118922165709,1313.3624327222403,fake
53,-2244.389581267987,1141.8355344620093,fake
54,-2143.216106109855,1195.9184499392,fake
55,-2249.5992914206668,1126.7963338547263,fake
56,-2349.029577271076,966.4241574321127,fake
57,-2524.1622048481604,686.1362519793441,fake
58,-1923.235377681256,1000.8522714345132,fake
59,-2641.8705752577607,600.7155520310477,fake
60,-2892.3657716116436,285.7962633296021,fake
61,-3494.3483272013855,-80.9916166335282,fake
62,-3471.9465179557465,67.12706641789222,fake
63,-3509.522233244236,-80.48968573333279,fake
64,-3558.762292719727,64.38338281084096,fake
65,-3912.348598975255,-260.4135351750887,real
66,-3672.661032155712,-73.97516670605206,fake
67,-2379.1089072446134,537.9297389232166,fake
68,-1535.3732049838236,850.941236773033,fake
69,-459.56045379143995,1106.0593964101586,fake
70,29.48126107459703,1308.1502010032846,fake
71,682.3305979614336,1722.6459534640974,fake
72,1244.1389293991238,1636.4805474610134,fake
73,2579.7812619293873,2166.44904554922,fake
74,2585.8414596035163,1930.7050339778025,fake
75,3215.3943601903384,1855.0176026083252,fake
76,3266.957100157543,1917.8201249467234,fake
77,3012.241414033675,1696.0987927156436,fake
78,2943.0547199349658,1494.50898475392,fake
79,2743.6128057224178,1235.781372081924,fake
80,3144.6760636631025,1438.7311796951067,fake
81,3358.4268012703487,1276.1388668929494,fake
82,2984.603582386523,981.1418791138916,fake
83,2676.716187253984,782.2768277501419,fake
84,2531.555570731924,681.961999676405,fake
85,3313.1940975188822,658.6918324819131,fake
86,2936.81201869643,372.1457317708766,fake
87,3143.7756772340267,344.30418473994825,fake
88,3432.520194260886,261.67624629167256,fake
89,3196.634070626721,156.61224288721138,fake
90,2586.2601513354857,-56.169892756839246,fake
91,3706.3941206378854,231.50533017984216,fake
92,2751.10715044141,-249.1705376352515,fake
93,2796.90630624415,-199.54257028261705,fake
94,2959.103355385498,-252.5393747865204,fake
95,2743.171108070755,-234.4530641512457,fake
96,3114.982379492734,-319.8419519199724,fake
97,2658.911458760931,-281.96014330078754,real
98,2977.9372294087925,-518.9844022132274,fake
99,3066.507063654896,-581.1697775776864,fake
100,2669.7112460725943,-638.9246023216003,fake
101,2755.210207214685,-685.1094153443153,fake
102,3181.41299274075,-762.0586270652595,fake
103,2768.4701140863663,-1029.366337671687,fake
104,2395.549501528809,-1206.8127205950514,fake
105,1852.5849846912406,-1440.5212267075535,fake
106,1395.5137053006194,-1603.521628991405,fake
107,1370.3727336191012,-1670.8257013729294,fake
108,1410.5791912260493,-1679.2554986035445,fake
109,1029.089541540891,-1892.9900403968782,fake
110,778.6334388277945,-2042.679482103822,fake
111,-1177.918880110507,-2438.7775626399994,fake
112,-949.6456488047141,-2317.122382799023,fake
113,-435.0570294104267,-2373.9754020254336,fake
114,-1140.2867330517174,-2606.2543799831305,fake
115,-2205.3679505770224,-2874.2657434910407,fake
116,-1808.683906395578,-2765.1437757002013,fake
117,-3261.9326316578636,-2968.4429145628887,fake
118,-3744.861810554636,-3025.617257451625,fake
119,-4093.600620645785,-3089.675648382787,fake
120,-3761.409395850353,-2946.7049664171477,fake
121,-2934.2027378184252,-2750.2617462640314,fake
122,-2963.0854717723064,-2685.7687867465816,fake
123,-4115.585407568132,-3023.400955288904,fake
124,-4192.563292809644,-2935.49593486222,fake
125,-2881.7388307834976,-2457.351919080001,fake
126,-4323.746549961067,-2788.5638502578895,fake
127,-3737.809519870838,-2519.4395880876623,fake
128,-3260.524312420199,-2231.2206224430415,fake
129,-2700.7948611078305,-2029.5947852301622,real
130,-2656.510262156465,-1943.0080219838983,fake
131,-3816.7270431657325,-2321.2713880403303,fake
132,-3401.8450981167507,-2153.7215351547147,fake
133,-2607.2791944816795,-1884.46868983446,fake
134,-2494.8932465278713,-1864.1894769879007,fake
135,-2380.433872561502,-1830.4329238183736,fake
136,-2237.7287329664923,-1911.6996438589392,fake
137,-2848.146132002684,-2188.6272594555367,fake
138,-1254.1408657259547,-1463.8676291644924,fake
139,217.7913965595232,-1327.7633594641716,fake
140,1594.389458225474,-898.9859697255002,fake
141,1603.1009090335763,-1146.472785353449,fake
142,2725.7796532251773,-965.3719018807335,fake
143,2406.984923088349,-1123.6025939389478,fake
144,3528.643943602921,-989.1567022157355,fake
145,3710.1099896841033,-1031.8044354134363,fake
146,2910.2441774897097,-1136.4468003438708,fake
147,3084.218126019969,-1097.660783049316,fake
148,3154.7727435954,-1040.5124601841294,fake
149,2864.121249870739,-1148.355769723187,fake
150,2384.630182701825,-1051.7015191161586,fake
151,3162.29698531583,-822.7377371054838,fake
152,2496.4803136192018,-804.8887128457328,fake
153,2530.3978776518156,-701.2922126613414,fake
154,3154.2233599262936,-215.05175970951746,fake
155,3206.888192956635,-20.641052456003536,fake
156,2906.4086671628966,216.94236978897266,fake
157,2860.393042155868,368.38977970359093,fake
158,2871.440477604806,673.8332517446785,fake
159,2454.7381557248177,844.3955232511356,fake
160,3464.9390695488237,1291.4128934012933,fake
161,2148.8244973615647,1131.1393452980585,real
162,3237.3534419291313,1577.581354680532,fake
163,3114.7212845554004,1407.319249626702,fake
164,2751.5258539049532,1265.6439187429257,fake
165,3235.527848758847,1208.4175080415778,fake
166,4013.1222420660083,1426.536523604833,fake
167,3786.695350490443,1273.0197084238923,fake
168,4470.364559609348,1447.063526002742,fake
169,3820.2700406239546,959.3336126303554,fake
170,3525.667801806235,606.2882418079846,fake
171,3480.4459301719166,221.990932876038,fake
172,3991.525015846324,213.72396487071606,fake
173,4585.233186035145,82.67677664495149,fake
174,4777.535319793854,152.67902655561716,fake
