row_index_1b,PC1,PC2,group
1,-1955.350404061053,-2679.6732862203944,real
2,-2068.3517139481587,-2664.325029849928,fake
3,-1551.2554738765102,-2687.0596456851113,fake
4,-647.257411023754,-2620.3087802381415,fake
5,-1290.1232090856663,-2530.843628516777,fake
6,-1853.700476089315,-2560.760853738989,fake
7,-1395.151059387347,-2555.753455645841,fake
8,-1345.3331862040338,-2574.5036432047814,fake
9,-1281.2341804399496,-2452.8183338402832,fake
10,-1801.5199558817637,-2465.109080954581,fake
11,-1882.286449485835,-2403.132691810261,fake
12,-1402.4201416240987,-2388.9314426893757,fake
13,-1543.7867220633773,-2325.8520099394595,fake
14,-1449.1947325760486,-2367.6778081205134,fake
15,-1317.7049654835032,-2294.593777834623,fake
16,-1235.081943594044,-2298.348680801637,fake
17,-1291.8647747994382,-2230.38854765443,fake
18,-1627.359430957457,-2250.1797250643544,fake
19,-1372.6079991435822,-2148.561264838647,fake
20,-1256.6769792387802,-2120.755961038804,fake
21,-1495.8795751408998,-2110.934890729167,fake
22,-1469.6229354878908,-2091.4226892147703,fake
23,-1514.0819711267309,-2011.5920204822985,fake
24,-2213.2078739412696,-2070.57677816708,fake
25,-2088.0410885336514,-2037.4362540048105,fake
26,-2038.0256869045643,-1992.4339183775744,fake
27,-2195.7792920135794,-1978.7570382720946,fake
28,-1983.294914805414,-1966.5671028057134,fake
29,-1417.5867401344358,-1821.9826736410146,fake
30,-1514.028086962672,-1783.9347428802303,fake
31,-1817.1098407807365,-1718.3598125128526,fake
32,-2022.9173436869173,-1741.7283629123067,fake
33,-1917.3452901920555,-1649.9982484375237,fake
34,-1510.5310015717555,-1574.981069626159,fake
35,-2460.082969179122,-1667.223970879283,fake
36,-2292.9936843607697,-1670.1631999727645,fake
37,-2195.5049169818426,-1617.0301442878385,fake
38,-2565.502883656996,-1564.9683783960375,fake
39,-1666.7017082021162,-1439.5232726469242,fake
40,-2079.5199347835282,-1422.4908056914676,fake
41,-1977.1475178797377,-1377.629569648759,fake
42,-1629.847884538457,-1302.2566651704544,fake
43,-2290.154488308515,-1360.0572997967463,fake
44,-2091.361818595972,-1267.36013279649,fake
45,-2341.984324440591,-1290.6807416345493,fake
46,-2175.995347763317,-1269.322834459269,fake
47,-2548.233396688227,-1249.1267793124462,fake
48,-2134.0924315304173,-1202.5830159603804,fake
49,-2544.3552911233132,-1148.7851777718217,fake
50,-1382.7688893075774,-963.7734802644504,fake
51,-1618.0839915018078,-951.5476032740112,fake
52,-1775.533039975315,-939.3435818282894,fake
53,-1583.236974644497,-829.956371912281,fake
54,-1782.707910662505,-859.6493050349862,fake
55,-1520.8605125786075,-737.1904446624646,fake
