row_index_1b,PC1,PC2,group
1,-8032.822669430395,6145.3700859231885,real
2,-7629.470208446144,6540.782272666296,fake
3,-7589.649438993607,6262.237767236182,fake
4,-7590.667040795295,5849.588262250119,fake
5,-7563.969266879571,5437.296135042375,fake
6,-7258.6346247758565,5689.962212752669,fake
7,-7243.76907494668,5403.393453058815,fake
8,-7093.967460682491,5089.381506779768,fake
9,-6415.188424260815,5953.392929398984,fake
10,-6287.493171714056,5559.655166996815,fake
11,-6063.945680818894,5438.980696211472,fake
12,-5993.791241824514,5033.532971731738,fake
13,-5813.955013037169,4776.671673830097,fake
14,-5642.768158225721,4458.303446010233,fake
15,-5551.221254461098,4280.980297122343,fake
16,-5325.0919500583,4087.4893565830967,fake
17,-5005.480153111663,4158.615593211032,fake
18,-4959.4740996237215,3802.946346196963,fake
19,-5457.636040225423,2887.2926559397984,fake
20,-4373.2151671057,3861.221287244193,fake
21,-4728.383432834658,2969.0944459874377,fake
22,-4478.406893900137,2749.9030345409114,fake
23,-4152.134913161307,2709.6086345384124,fake
24,-4056.8049104208962,2463.2226384110827,fake
25,-3997.4193581013587,2074.7737539785553,fake
26,-3699.087078207961,1997.741426708638,fake
27,-3562.6385573016946,1836.0032542328893,fake
28,-3469.3983535349435,1634.316359986029,fake
29,-3351.988119495095,1316.45992874411,fake
30,-2990.3907818991984,1288.5549963812011,fake
31,-2892.1694839127777,1081.388924872431,fake
32,-3082.7342998344384,486.25978734598397,fake
33,-2923.1828699124503,350.3562419420252,fake
34,-2852.6805781503467,229.22761356589956,fake
35,-2454.9564894544824,156.05255031977327,fake
36,-2334.7516026624467,156.03746004616343,fake
37,-2496.1412028213567,-192.75459044904252,fake
38,-2877.5190803956793,-537.5662503566873,fake
39,-2983.2180083319327,-699.198337251379,fake
40,-3148.064710639186,-1064.6110774319695,fake
41,-3718.814867811516,-1614.0701275783545,fake
42,-2936.3881174376656,-1344.400657202807,fake
43,-3704.420765196406,-1847.9035709687328,fake
44,-3790.847696500358,-2013.3832299058427,fake
45,-2809.390931304322,-1779.9071751033296,fake
46,-2909.5036084268395,-1776.3657690406756,fake
47,-2522.6275751924304,-1740.612978619632,fake
48,-2845.425655776049,-1629.5415505151493,fake
49,-2508.4313714347504,-1913.9955907996684,fake
50,-3129.7719656233826,-2341.3717170543414,fake
51,-3200.858997138206,-2352.45568194795,fake
52,-3332.2786168716534,-2493.854854240978,fake
53,-3420.393268233862,-2613.2213101631623,fake
54,-3264.4703430335376,-2284.7886778348197,fake
55,-3211.390197916325,-2594.531192654914,fake
56,-3076.690917821983,-2588.409992151159,fake
57,-2910.8552106656753,-2454.94561634228,fake
58,-3218.7350032402496,-2326.813619998334,fake
59,-2879.8109547106137,-2404.138915803329,fake
60,-3249.6416984023695,-2771.464850095341,fake
