row_index_1b,PC1,PC2,group
1,-2019.0165163870774,-4247.702916624401,real
2,-2178.947432641166,-4280.218091576177,fake
3,-2266.739080514862,-4465.796461575665,fake
4,-2310.6555108882853,-4348.4490294440075,fake
5,-2154.442830918398,-4981.154743290973,fake
6,-2081.540144961782,-5586.225219823452,fake
7,-2039.7751764492198,-5829.047803459622,fake
8,-2198.8264961961577,-5542.061503780793,fake
9,-2077.23667447733,-6196.996101960987,fake
10,-2001.5308179382937,-6742.992471503899,fake
11,-2010.0084438506105,-6792.74365764614,fake
12,-2257.861850803633,-6376.78803641586,fake
13,-2235.3196601733002,-6671.819495162469,fake
14,-2121.626111606017,-7058.871885005751,fake
15,-2102.62719330909,-7063.980260169017,fake
16,-2206.0824097347013,-7113.992211976642,fake
17,-2553.6974877405655,-6416.78452875005,fake
18,-2700.635114792908,-6133.663461906159,fake
19,-2961.2030320489043,-5802.741433797978,fake
20,-2856.1221637737503,-6002.221481715519,fake
21,-3421.27161320385,-4818.900089013992,fake
22,-3415.7776897865856,-4562.224793984586,fake
23,-3558.7847744550236,-4426.684058212163,fake
24,-3779.8692034739447,-3819.883090284852,fake
25,-3743.079275264765,-3937.098618783238,fake
26,-4262.0073106054415,-2595.6855562092255,fake
27,-4333.616622997761,-2480.1414868305806,fake
28,-4146.656644882267,-2929.992876646108,fake
29,-4160.414329260594,-3173.301424032625,fake
30,-4160.063729364419,-3075.799421696944,fake
31,-3974.660893213802,-3650.057342463786,fake
32,-4080.9125252496,-3289.3851720266853,fake
33,-3921.7852197088814,-3550.5304806330105,fake
34,-3918.201198778364,-3542.4428336278543,fake
35,-3906.6893099754307,-3533.70024295487,fake
36,-3587.5066276343027,-4234.31605242591,fake
37,-3711.9781663502895,-3907.5760147516785,fake
38,-3763.13665345206,-3909.239411727806,fake
39,-3765.3696908203506,-3656.106960585124,fake
40,-3855.926920892698,-3456.7626660767705,fake
41,-3748.7406525174583,-3608.32337456103,fake
42,-4036.99814838651,-3023.560262516021,fake
43,-3928.4434051590833,-3315.3901826114493,fake
44,-3805.337758698694,-3535.8326408892735,fake
45,-3923.060588426312,-3325.8956080406306,fake
46,-3831.9173279177753,-3164.352412835801,fake
47,-4020.175391439875,-3052.019575265288,fake
48,-4144.867667860572,-2504.896702675399,fake
49,-4227.353934641064,-2418.274757267045,fake
50,-4221.342939705327,-2278.9008204090846,fake
51,-4311.624274978131,-2084.3319791226018,fake
52,-4275.974980586044,-2256.0759354518846,fake
53,-4389.932316001399,-1904.748754472909,fake
54,-4287.858533613018,-1737.779720323553,fake
55,-4448.984031529391,-1315.892975176292,fake
56,-4626.184129568346,-1017.0235780019169,fake
57,-4625.729970976112,-830.6977223522855,fake
58,-4730.948139403846,-740.4225483472146,fake
59,-4609.472832834315,-672.979761172573,fake
60,-4856.528242962269,-200.28895831998386,fake
61,-4999.497719876891,-30.208685647026947,fake
62,-5063.531015163228,-11.004865960932408,fake
63,-5009.537829321448,98.12550558334544,fake
64,-5188.43135086885,453.1454330019103,fake
65,-5385.71016460511,810.6152982292543,real
